State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,address_for_geocode,latitude,longitude,reverse_address,location_name
Puducherry,Unknown,2021,March,Friday,16:25,Minor,3,Two-Wheeler,2,5,Foggy,Village Road,Dry,Dawn,,53,61,Male,Expired,Yes,Straight Road,"Unknown, Puducherry",11.93381,79.82979,"Petit Seminaire higher secondary school, 355, Needarajapayar Street, Grand Bazaar, Puducherry - 605001, Puducherry, India",355
Mizoram,Unknown,2018,March,Monday,3:56,Fatal,3,Two-Wheeler,6,4,Foggy,National Highway,Under Construction,Dark,Signals,106,29,Male,Expired,No,Curve,"Unknown, Mizoram",23.4420261,92.9982011,"Dirt path, Serchhip, -, Mizoram, India",Serchhip
Assam,Unknown,2021,August,Monday,5:5,Fatal,3,Auto-Rickshaw,4,3,Hazy,State Highway,Dry,Dusk,Signals,42,33,Female,Valid,Yes,Straight Road,"Unknown, Assam",26.492533,92.3308789,"unnamed road, Marigaon, -, Assam, India",Marigaon
Nagaland,Unknown,2018,November,Thursday,3:46,Minor,4,Cycle,6,2,Foggy,Village Road,Damaged,Dusk,Police Checkpost,120,28,Female,,No,Intersection,"Unknown, Nagaland",26.08333,94.5,"Atoizu, India",India
Himachal Pradesh,Unknown,2020,May,Monday,8:2,Minor,1,Truck,1,0,Rainy,National Highway,Damaged,Daylight,Signs,68,66,Female,,Yes,Straight Road,"Unknown, Himachal Pradesh",32.176123,76.6980857,"Unknown Tea Shop, Jalsu Binwa Stream, Kangra, -, Himachal Pradesh, India",Jalsu Binwa Stream
Haryana,Unknown,2022,September,Saturday,14:52,Minor,3,Bus,5,5,Foggy,Village Road,Dry,Dusk,Signals,67,57,Female,Expired,Yes,Intersection,"Unknown, Haryana",28.4154906,77.0919333,"Fountain of the unknown, CRPF Road, Brahma City, Gurugram - 122011, Haryana, India",CRPF Road
Mizoram,Unknown,2019,December,Saturday,0:50,Serious,1,Truck,2,2,Clear,Urban Road,Wet,Dark,Signs,71,62,Female,Valid,Yes,Bridge,"Unknown, Mizoram",23.4420261,92.9982011,"Dirt path, Serchhip, -, Mizoram, India",Serchhip
Sikkim,Unknown,2023,June,Monday,6:5,Fatal,4,Pedestrian,8,3,Stormy,National Highway,Wet,Dawn,,93,38,Female,Valid,Yes,Curve,"Unknown, Sikkim",27.75,88.5,"Lachen, Chungthang, India",Chungthang
Bihar,Unknown,2018,April,Sunday,23:33,Fatal,5,Two-Wheeler,10,2,Hazy,Village Road,Damaged,Dawn,,41,39,Female,,No,Bridge,"Unknown, Bihar",47.053215,21.9345955,"Statue of the Unknown Soldier, Piața 1 Decembrie, 410068 Oradea, Romania",Piața 1 Decembrie
Chhattisgarh,Unknown,2018,July,Saturday,13:23,Fatal,1,Pedestrian,6,0,Hazy,State Highway,Dry,Dawn,,65,44,Male,Valid,Yes,Curve,"Unknown, Chhattisgarh",21.5,82.0,"unnamed road, Baloda Bazar, - 493196, Chhattisgarh, India",Baloda Bazar
Goa,Unknown,2023,August,Monday,4:41,Serious,3,Pedestrian,3,4,Clear,Village Road,Wet,Dusk,Signs,111,40,Female,,Yes,Straight Road,"Unknown, Goa",44.4264,8.91519,"Emanuelli Simoncini - Materiali edili, Via Bari, 16134 Genoa Genoa, Italy",Via Bari
Arunachal Pradesh,Unknown,2022,July,Wednesday,8:38,Fatal,1,Truck,1,5,Rainy,Village Road,Under Construction,Dark,,70,63,Male,Valid,No,Intersection,"Unknown, Arunachal Pradesh",27.06,93.37,"Sangdupota (Basar Nello), Sangdupota Basar Nello Circle, India",Sangdupota Basar Nello Circle
Punjab,Unknown,2022,June,Sunday,0:24,Serious,2,Bus,4,3,Hazy,State Highway,Damaged,Dawn,,88,34,Male,Valid,Yes,Curve,"Unknown, Punjab",30.86017,72.31976,"Faisalabad Division, unnamed road, Toba Tek Singh Tehsil, Punjab, Pakistan",unnamed road
Arunachal Pradesh,Unknown,2018,September,Friday,12:52,Serious,2,Car,1,1,Foggy,State Highway,Dry,Daylight,,102,43,Female,,No,Curve,"Unknown, Arunachal Pradesh",27.06,93.37,"Sangdupota (Basar Nello), Sangdupota Basar Nello Circle, India",Sangdupota Basar Nello Circle
Meghalaya,Unknown,2020,April,Saturday,4:28,Serious,5,Cycle,6,0,Hazy,State Highway,Under Construction,Dusk,Signals,39,65,Male,,Yes,Curve,"Unknown, Meghalaya",25.5,91.33333,"West Khasi Hills, Nongstoin - 793119, Meghalaya, India",Nongstoin - 793119
Puducherry,Unknown,2020,October,Friday,18:7,Serious,3,Bus,8,3,Clear,Urban Road,Under Construction,Dawn,Signs,89,34,Female,Valid,Yes,Intersection,"Unknown, Puducherry",11.93381,79.82979,"Petit Seminaire higher secondary school, 355, Needarajapayar Street, Grand Bazaar, Puducherry - 605001, Puducherry, India",355
Delhi,New Delhi,2023,June,Tuesday,17:58,Serious,5,Cycle,10,3,Hazy,National Highway,Dry,Dark,Police Checkpost,73,68,Female,Valid,No,Intersection,"New Delhi, Delhi",28.6430858,77.2192671,"New Delhi, Foot Over Bridge 1, Central Delhi, Delhi - 110006, Delhi, India",Foot Over Bridge 1
Delhi,Rohini,2022,October,Saturday,12:20,Minor,3,Pedestrian,10,3,Stormy,Village Road,Under Construction,Dark,Signs,70,39,Female,Valid,No,Intersection,"Rohini, Delhi",28.7162092,77.1170743,"HL Parwana Road, Rohini, - 110085, Delhi, India",Rohini
Punjab,Unknown,2021,December,Wednesday,6:39,Fatal,1,Pedestrian,0,2,Clear,State Highway,Damaged,Dawn,Signs,103,67,Female,,Yes,Straight Road,"Unknown, Punjab",30.86017,72.31976,"Faisalabad Division, unnamed road, Toba Tek Singh Tehsil, Punjab, Pakistan",unnamed road
Bihar,Unknown,2019,June,Saturday,2:25,Minor,5,Truck,9,4,Hazy,Village Road,Wet,Daylight,Police Checkpost,102,34,Female,Expired,Yes,Bridge,"Unknown, Bihar",47.053215,21.9345955,"Statue of the Unknown Soldier, Piața 1 Decembrie, 410068 Oradea, Romania",Piața 1 Decembrie
West Bengal,Siliguri,2018,July,Sunday,3:7,Fatal,5,Car,5,1,Clear,State Highway,Dry,Dusk,Signals,98,49,Female,,No,Intersection,"Siliguri, West Bengal",26.7164127,88.4309916,"unnamed road, Darjeeling, Siliguri - 734001, West Bengal, India",Darjeeling
Andhra Pradesh,Visakhapatnam,2021,August,Monday,8:7,Fatal,1,Pedestrian,1,2,Hazy,Village Road,Under Construction,Dawn,Signals,104,65,Male,,Yes,Straight Road,"Visakhapatnam, Andhra Pradesh",17.6935526,83.2921297,"unnamed road, Old Post Office Area, Visakhapatnam - 530001, Andhra Pradesh, India",Old Post Office Area
Rajasthan,Jaipur,2019,December,Friday,12:11,Serious,1,Bus,1,2,Clear,Urban Road,Under Construction,Dusk,Police Checkpost,45,26,Female,Expired,Yes,Intersection,"Jaipur, Rajasthan",26.9154576,75.8189817,"Mirza Ismail Road, Jaipur, Jaipur - 302001, Rajasthan, India",Jaipur
Kerala,Unknown,2021,June,Thursday,16:55,Serious,2,Pedestrian,3,1,Clear,Village Road,Damaged,Dawn,Signs,108,57,Female,Expired,Yes,Bridge,"Unknown, Kerala",9.9627112,76.2897971,"Manikkath Road, Perumanoor, Ernakulam - 680016, Kerala, India",Perumanoor
Himachal Pradesh,Unknown,2019,May,Wednesday,15:35,Minor,1,Auto-Rickshaw,4,1,Rainy,Village Road,Under Construction,Daylight,,55,59,Female,,Yes,Curve,"Unknown, Himachal Pradesh",32.176123,76.6980857,"Unknown Tea Shop, Jalsu Binwa Stream, Kangra, -, Himachal Pradesh, India",Jalsu Binwa Stream
Manipur,Unknown,2019,September,Thursday,12:40,Fatal,5,Bus,8,0,Stormy,Urban Road,Under Construction,Daylight,Signs,90,41,Female,,Yes,Bridge,"Unknown, Manipur",25.0,94.0,"unnamed road, Kangpokpi district, Maibung Likli - 795118, Manipur, India",Kangpokpi district
Arunachal Pradesh,Unknown,2023,May,Sunday,20:0,Serious,1,Two-Wheeler,3,4,Rainy,Urban Road,Dry,Dusk,Police Checkpost,84,25,Male,Expired,Yes,Bridge,"Unknown, Arunachal Pradesh",27.06,93.37,"Sangdupota (Basar Nello), Sangdupota Basar Nello Circle, India",Sangdupota Basar Nello Circle
Andhra Pradesh,Visakhapatnam,2020,November,Monday,7:13,Serious,2,Car,9,0,Stormy,Village Road,Under Construction,Dark,,104,37,Female,Expired,No,Intersection,"Visakhapatnam, Andhra Pradesh",17.6935526,83.2921297,"unnamed road, Old Post Office Area, Visakhapatnam - 530001, Andhra Pradesh, India",Old Post Office Area
Manipur,Unknown,2022,November,Friday,1:10,Serious,4,Two-Wheeler,1,1,Stormy,National Highway,Dry,Dark,Police Checkpost,104,45,Female,Expired,No,Straight Road,"Unknown, Manipur",25.0,94.0,"unnamed road, Kangpokpi district, Maibung Likli - 795118, Manipur, India",Kangpokpi district
Tripura,Unknown,2021,February,Monday,0:37,Fatal,4,Truck,9,0,Stormy,National Highway,Dry,Daylight,Signs,87,64,Female,Valid,No,Curve,"Unknown, Tripura",24.0,92.0,"unnamed road, Dhalai, Manu - 799275, Tripura, India",Dhalai
Puducherry,Unknown,2023,March,Tuesday,0:0,Serious,2,Car,9,1,Clear,Village Road,Dry,Dawn,Police Checkpost,37,40,Female,Valid,Yes,Straight Road,"Unknown, Puducherry",11.93381,79.82979,"Petit Seminaire higher secondary school, 355, Needarajapayar Street, Grand Bazaar, Puducherry - 605001, Puducherry, India",355
Mizoram,Unknown,2021,August,Sunday,1:37,Serious,3,Cycle,3,2,Stormy,National Highway,Dry,Dusk,Signals,35,27,Female,Expired,No,Curve,"Unknown, Mizoram",23.4420261,92.9982011,"Dirt path, Serchhip, -, Mizoram, India",Serchhip
Meghalaya,Unknown,2022,September,Friday,19:41,Minor,1,Auto-Rickshaw,7,4,Clear,State Highway,Wet,Dawn,Police Checkpost,31,56,Female,,Yes,Intersection,"Unknown, Meghalaya",25.5,91.33333,"West Khasi Hills, Nongstoin - 793119, Meghalaya, India",Nongstoin - 793119
Manipur,Unknown,2023,October,Thursday,14:58,Serious,1,Car,7,1,Hazy,National Highway,Under Construction,Daylight,Police Checkpost,56,63,Male,Valid,Yes,Curve,"Unknown, Manipur",25.0,94.0,"unnamed road, Kangpokpi district, Maibung Likli - 795118, Manipur, India",Kangpokpi district
Meghalaya,Unknown,2019,October,Saturday,9:2,Serious,4,Cycle,10,0,Hazy,State Highway,Under Construction,Dawn,,112,47,Male,,No,Intersection,"Unknown, Meghalaya",25.5,91.33333,"West Khasi Hills, Nongstoin - 793119, Meghalaya, India",Nongstoin - 793119
Chandigarh,Unknown,2021,May,Sunday,16:28,Minor,2,Two-Wheeler,0,5,Hazy,Village Road,Under Construction,Daylight,Signs,89,32,Female,Expired,Yes,Curve,"Unknown, Chandigarh",30.73629,76.7884,"unnamed road, Sector 18, Chandigarh - 160018, Chandigarh, India",Sector 18
Maharashtra,Nagpur,2023,April,Friday,3:4,Fatal,2,Cycle,5,3,Rainy,National Highway,Under Construction,Daylight,Police Checkpost,30,31,Female,Valid,Yes,Intersection,"Nagpur, Maharashtra",21.1498134,79.0820556,"Vasantrao Naik Government Institute of Arts and Social Sciences, NH53, Ramdaspeth, Nagpur - 440001, Maharashtra, India",NH53
Karnataka,Mangalore,2022,May,Saturday,21:5,Serious,4,Auto-Rickshaw,2,3,Foggy,Urban Road,Under Construction,Dawn,Signals,98,21,Female,Expired,Yes,Curve,"Mangalore, Karnataka",12.8698101,74.8430082,"Jos Alukkas Jewellers, Light House Hill Road, Attavar, Mangaluru - 575001, Karnataka, India",Light House Hill Road
Haryana,Unknown,2018,September,Sunday,21:46,Serious,1,Cycle,2,3,Foggy,National Highway,Dry,Dawn,Signals,67,38,Male,Valid,Yes,Bridge,"Unknown, Haryana",28.4154906,77.0919333,"Fountain of the unknown, CRPF Road, Brahma City, Gurugram - 122011, Haryana, India",CRPF Road
Puducherry,Unknown,2022,August,Monday,4:34,Fatal,4,Bus,10,2,Stormy,National Highway,Damaged,Dark,Signals,109,27,Male,,No,Straight Road,"Unknown, Puducherry",11.93381,79.82979,"Petit Seminaire higher secondary school, 355, Needarajapayar Street, Grand Bazaar, Puducherry - 605001, Puducherry, India",355
Puducherry,Unknown,2022,December,Saturday,15:51,Minor,4,Pedestrian,5,3,Foggy,Village Road,Dry,Dawn,Signs,111,35,Male,Expired,No,Curve,"Unknown, Puducherry",11.93381,79.82979,"Petit Seminaire higher secondary school, 355, Needarajapayar Street, Grand Bazaar, Puducherry - 605001, Puducherry, India",355
Haryana,Unknown,2021,August,Thursday,10:54,Fatal,3,Car,4,1,Clear,State Highway,Dry,Dawn,Police Checkpost,36,55,Female,Valid,No,Straight Road,"Unknown, Haryana",28.4154906,77.0919333,"Fountain of the unknown, CRPF Road, Brahma City, Gurugram - 122011, Haryana, India",CRPF Road
Jharkhand,Unknown,2019,April,Tuesday,17:42,Serious,5,Auto-Rickshaw,8,0,Stormy,Urban Road,Damaged,Dawn,Signs,99,42,Male,Valid,Yes,Straight Road,"Unknown, Jharkhand",23.75,85.5,"unnamed road, Ramgarh, - 825316, Jharkhand, India",Ramgarh
Karnataka,Mysore,2021,February,Friday,6:5,Serious,3,Two-Wheeler,10,2,Foggy,Village Road,Dry,Dawn,Police Checkpost,80,69,Male,,Yes,Curve,"Mysore, Karnataka",12.3051828,76.6553609,"Mysore Palace, Sayyaji Rao Road, Vani Vilas, Mysuru - 570001, Karnataka, India",Sayyaji Rao Road
Manipur,Unknown,2021,August,Saturday,10:15,Minor,5,Pedestrian,4,5,Hazy,State Highway,Under Construction,Dusk,Police Checkpost,90,27,Female,,Yes,Bridge,"Unknown, Manipur",25.0,94.0,"unnamed road, Kangpokpi district, Maibung Likli - 795118, Manipur, India",Kangpokpi district
Manipur,Unknown,2019,November,Friday,20:40,Minor,1,Two-Wheeler,0,0,Hazy,Village Road,Damaged,Daylight,,38,46,Female,Expired,No,Curve,"Unknown, Manipur",25.0,94.0,"unnamed road, Kangpokpi district, Maibung Likli - 795118, Manipur, India",Kangpokpi district
Odisha,Unknown,2018,February,Sunday,7:30,Minor,2,Auto-Rickshaw,0,2,Rainy,Village Road,Dry,Daylight,Signals,64,60,Male,,No,Curve,"Unknown, Odisha",18.9668959,84.3684974,"Unknown Temple, Bhima point tracking Path, Gajapati, Burakhat, Odisha, India",Bhima point tracking Path
West Bengal,Durgapur,2018,February,Sunday,8:14,Fatal,5,Truck,6,0,Hazy,National Highway,Wet,Daylight,Police Checkpost,81,25,Male,Expired,Yes,Straight Road,"Durgapur, West Bengal",23.5350475,87.3380425,"unnamed road, Paschim Bardhaman, Durgapur - 713200, West Bengal, India",Paschim Bardhaman
Kerala,Unknown,2018,February,Friday,1:5,Minor,1,Car,4,4,Rainy,Urban Road,Dry,Daylight,Signals,47,27,Female,,Yes,Bridge,"Unknown, Kerala",9.9627112,76.2897971,"Manikkath Road, Perumanoor, Ernakulam - 680016, Kerala, India",Perumanoor
Jammu and Kashmir,Unknown,2018,July,Wednesday,14:1,Fatal,5,Auto-Rickshaw,7,2,Rainy,Village Road,Damaged,Dark,Police Checkpost,37,61,Male,Expired,Yes,Intersection,"Unknown, Jammu and Kashmir",33.91667,76.66667,"Rangdun-Lingshed, Sham Valley, -, Ladakh, India",Sham Valley
Delhi,Rohini,2018,June,Saturday,10:30,Serious,1,Two-Wheeler,2,1,Clear,State Highway,Dry,Dark,,111,56,Male,Expired,Yes,Intersection,"Rohini, Delhi",28.7162092,77.1170743,"HL Parwana Road, Rohini, - 110085, Delhi, India",Rohini
Tamil Nadu,Madurai,2021,December,Saturday,16:57,Fatal,1,Car,0,0,Hazy,National Highway,Damaged,Dusk,,111,25,Male,Expired,Yes,Curve,"Madurai, Tamil Nadu",9.9261153,78.1140983,"unnamed road, Arappalayam, Madurai - 625010, Tamil Nadu, India",Arappalayam
Haryana,Unknown,2023,January,Tuesday,16:53,Minor,1,Auto-Rickshaw,0,2,Rainy,National Highway,Wet,Dusk,Police Checkpost,80,54,Male,,Yes,Curve,"Unknown, Haryana",28.4154906,77.0919333,"Fountain of the unknown, CRPF Road, Brahma City, Gurugram - 122011, Haryana, India",CRPF Road
Nagaland,Unknown,2020,May,Tuesday,5:13,Minor,2,Cycle,7,3,Clear,National Highway,Wet,Dark,,34,19,Male,Expired,No,Intersection,"Unknown, Nagaland",26.08333,94.5,"Atoizu, India",India
Maharashtra,Pune,2022,June,Friday,19:19,Serious,1,Cycle,8,5,Rainy,Urban Road,Under Construction,Dusk,Signals,94,25,Male,Expired,Yes,Straight Road,"Pune, Maharashtra",18.5213738,73.8545071,"unnamed road, Shaniwar Peth, Pune - 411002, Maharashtra, India",Shaniwar Peth
Himachal Pradesh,Unknown,2020,June,Tuesday,15:19,Fatal,1,Truck,8,4,Rainy,National Highway,Wet,Daylight,Signals,94,61,Female,Valid,Yes,Straight Road,"Unknown, Himachal Pradesh",32.176123,76.6980857,"Unknown Tea Shop, Jalsu Binwa Stream, Kangra, -, Himachal Pradesh, India",Jalsu Binwa Stream
Himachal Pradesh,Unknown,2022,September,Saturday,6:44,Fatal,3,Two-Wheeler,4,4,Stormy,National Highway,Dry,Dark,Signs,69,45,Male,,No,Bridge,"Unknown, Himachal Pradesh",32.176123,76.6980857,"Unknown Tea Shop, Jalsu Binwa Stream, Kangra, -, Himachal Pradesh, India",Jalsu Binwa Stream
Chhattisgarh,Unknown,2019,August,Sunday,0:28,Serious,2,Auto-Rickshaw,8,2,Clear,Village Road,Damaged,Dusk,,36,24,Male,Expired,Yes,Straight Road,"Unknown, Chhattisgarh",21.5,82.0,"unnamed road, Baloda Bazar, - 493196, Chhattisgarh, India",Baloda Bazar
Puducherry,Unknown,2018,July,Friday,22:2,Serious,3,Pedestrian,2,4,Stormy,National Highway,Dry,Daylight,Signs,117,52,Female,Expired,No,Bridge,"Unknown, Puducherry",11.93381,79.82979,"Petit Seminaire higher secondary school, 355, Needarajapayar Street, Grand Bazaar, Puducherry - 605001, Puducherry, India",355
Gujarat,Surat,2022,August,Sunday,7:11,Minor,1,Auto-Rickshaw,10,0,Clear,Urban Road,Dry,Dark,Signals,120,46,Male,Expired,Yes,Bridge,"Surat, Gujarat",21.2094892,72.8317058,"Ashkta Ashram Road, Surat, Surat - 395003, Gujarat, India",Surat
Chandigarh,Unknown,2023,September,Tuesday,8:59,Serious,5,Two-Wheeler,1,4,Rainy,Village Road,Damaged,Dark,,115,44,Male,Valid,Yes,Intersection,"Unknown, Chandigarh",30.73629,76.7884,"unnamed road, Sector 18, Chandigarh - 160018, Chandigarh, India",Sector 18
Haryana,Unknown,2018,May,Tuesday,1:43,Fatal,4,Bus,2,1,Rainy,Village Road,Under Construction,Dark,Signs,66,36,Female,,Yes,Bridge,"Unknown, Haryana",28.4154906,77.0919333,"Fountain of the unknown, CRPF Road, Brahma City, Gurugram - 122011, Haryana, India",CRPF Road
Karnataka,Bangalore,2019,October,Saturday,22:5,Minor,4,Cycle,0,5,Rainy,State Highway,Under Construction,Dusk,Signals,90,69,Male,Valid,No,Intersection,"Bangalore, Karnataka",12.9767936,77.590082,"Doctor B R Ambedkar Veedhi, Gandhinagar, Bengaluru - 560001, Karnataka, India",Gandhinagar
Jammu and Kashmir,Unknown,2020,March,Friday,20:15,Fatal,5,Two-Wheeler,7,3,Foggy,State Highway,Under Construction,Dark,,49,47,Female,,No,Bridge,"Unknown, Jammu and Kashmir",33.91667,76.66667,"Rangdun-Lingshed, Sham Valley, -, Ladakh, India",Sham Valley
Rajasthan,Jaipur,2019,April,Saturday,6:58,Serious,5,Pedestrian,9,0,Foggy,National Highway,Dry,Dark,Signals,101,18,Female,Valid,Yes,Bridge,"Jaipur, Rajasthan",26.9154576,75.8189817,"Mirza Ismail Road, Jaipur, Jaipur - 302001, Rajasthan, India",Jaipur
West Bengal,Siliguri,2021,June,Saturday,11:9,Serious,2,Cycle,4,4,Foggy,State Highway,Dry,Dawn,Signs,89,31,Male,Expired,Yes,Straight Road,"Siliguri, West Bengal",26.7164127,88.4309916,"unnamed road, Darjeeling, Siliguri - 734001, West Bengal, India",Darjeeling
Punjab,Unknown,2021,April,Tuesday,17:24,Minor,4,Two-Wheeler,2,0,Rainy,State Highway,Damaged,Dawn,Signs,45,36,Male,,Yes,Intersection,"Unknown, Punjab",30.86017,72.31976,"Faisalabad Division, unnamed road, Toba Tek Singh Tehsil, Punjab, Pakistan",unnamed road
Maharashtra,Nagpur,2022,July,Monday,22:51,Serious,2,Truck,10,2,Clear,State Highway,Under Construction,Dawn,Police Checkpost,90,39,Female,Expired,Yes,Bridge,"Nagpur, Maharashtra",21.1498134,79.0820556,"Vasantrao Naik Government Institute of Arts and Social Sciences, NH53, Ramdaspeth, Nagpur - 440001, Maharashtra, India",NH53
Sikkim,Unknown,2022,June,Wednesday,21:7,Serious,5,Pedestrian,1,0,Rainy,National Highway,Dry,Dusk,Signals,61,64,Male,,No,Intersection,"Unknown, Sikkim",27.75,88.5,"Lachen, Chungthang, India",Chungthang
Jharkhand,Unknown,2023,March,Tuesday,2:32,Minor,4,Bus,6,4,Foggy,Urban Road,Wet,Dark,Signs,47,20,Male,Valid,No,Curve,"Unknown, Jharkhand",23.75,85.5,"unnamed road, Ramgarh, - 825316, Jharkhand, India",Ramgarh
Puducherry,Unknown,2020,October,Monday,19:12,Fatal,1,Auto-Rickshaw,8,0,Foggy,Village Road,Under Construction,Dusk,Signals,116,52,Male,Expired,No,Bridge,"Unknown, Puducherry",11.93381,79.82979,"Petit Seminaire higher secondary school, 355, Needarajapayar Street, Grand Bazaar, Puducherry - 605001, Puducherry, India",355
Tamil Nadu,Coimbatore,2023,April,Monday,16:9,Minor,4,Truck,5,2,Stormy,Urban Road,Dry,Daylight,,47,27,Male,,No,Curve,"Coimbatore, Tamil Nadu",11.0018115,76.9628425,"Station Flyover, Ward 25, Coimbatore - 641001, Tamil Nadu, India",Ward 25
Madhya Pradesh,Unknown,2020,November,Monday,17:37,Minor,4,Pedestrian,9,4,Rainy,State Highway,Dry,Dark,,43,56,Female,,No,Intersection,"Unknown, Madhya Pradesh",21.8464578,79.9459294,"Unknown, Waraseoni Tahsil, India",Waraseoni Tahsil
Odisha,Unknown,2022,April,Thursday,14:30,Minor,2,Auto-Rickshaw,6,3,Rainy,Urban Road,Wet,Daylight,,65,37,Male,,No,Straight Road,"Unknown, Odisha",18.9668959,84.3684974,"Unknown Temple, Bhima point tracking Path, Gajapati, Burakhat, Odisha, India",Bhima point tracking Path
Kerala,Unknown,2020,August,Saturday,11:48,Minor,1,Cycle,7,1,Hazy,National Highway,Under Construction,Dawn,Signals,82,41,Male,Valid,No,Intersection,"Unknown, Kerala",9.9627112,76.2897971,"Manikkath Road, Perumanoor, Ernakulam - 680016, Kerala, India",Perumanoor
Chandigarh,Unknown,2018,July,Saturday,7:37,Fatal,1,Car,1,3,Hazy,Village Road,Dry,Daylight,Signs,47,59,Female,,No,Bridge,"Unknown, Chandigarh",30.73629,76.7884,"unnamed road, Sector 18, Chandigarh - 160018, Chandigarh, India",Sector 18
Sikkim,Unknown,2023,June,Saturday,3:44,Fatal,3,Bus,7,1,Hazy,Urban Road,Dry,Dusk,Police Checkpost,95,18,Male,Valid,Yes,Curve,"Unknown, Sikkim",27.75,88.5,"Lachen, Chungthang, India",Chungthang
Uttar Pradesh,Kanpur,2021,November,Wednesday,17:17,Minor,3,Truck,7,3,Hazy,Village Road,Under Construction,Daylight,Signals,64,46,Female,Valid,No,Curve,"Kanpur, Uttar Pradesh",26.4609135,80.3217588,"Kalpi Road, Kanpur Nagar, Kanpur - 208022, Uttar Pradesh, India",Kanpur Nagar
Sikkim,Unknown,2023,November,Saturday,2:58,Serious,3,Auto-Rickshaw,6,3,Rainy,Urban Road,Damaged,Dark,Signals,47,68,Male,Valid,Yes,Curve,"Unknown, Sikkim",27.75,88.5,"Lachen, Chungthang, India",Chungthang
Uttarakhand,Unknown,2023,October,Sunday,8:21,Serious,4,Pedestrian,2,2,Stormy,Urban Road,Under Construction,Dawn,Signs,77,41,Male,,No,Curve,"Unknown, Uttarakhand",30.25,79.25,"Gopeshwar Road, Chamoli, Pipalsera - 246444, Uttarakhand, India",Chamoli
Chhattisgarh,Unknown,2020,December,Monday,13:0,Minor,3,Pedestrian,1,4,Rainy,Urban Road,Wet,Dusk,Police Checkpost,35,55,Female,Valid,No,Intersection,"Unknown, Chhattisgarh",21.5,82.0,"unnamed road, Baloda Bazar, - 493196, Chhattisgarh, India",Baloda Bazar
Karnataka,Bangalore,2019,November,Saturday,12:3,Fatal,2,Cycle,9,1,Foggy,Village Road,Damaged,Dark,Police Checkpost,54,29,Male,Valid,No,Bridge,"Bangalore, Karnataka",12.9767936,77.590082,"Doctor B R Ambedkar Veedhi, Gandhinagar, Bengaluru - 560001, Karnataka, India",Gandhinagar
Telangana,Unknown,2020,March,Sunday,14:33,Fatal,2,Pedestrian,0,5,Stormy,Village Road,Wet,Daylight,Police Checkpost,64,62,Female,Valid,No,Curve,"Unknown, Telangana",17.83333,79.08333,"Jangaon, Bonakallur - 500010, Telangana, India",Bonakallur - 500010
Chhattisgarh,Unknown,2018,August,Thursday,23:21,Serious,4,Bus,9,2,Rainy,State Highway,Under Construction,Dark,Signs,56,39,Female,,Yes,Intersection,"Unknown, Chhattisgarh",21.5,82.0,"unnamed road, Baloda Bazar, - 493196, Chhattisgarh, India",Baloda Bazar
Himachal Pradesh,Unknown,2021,June,Saturday,10:30,Minor,1,Pedestrian,3,1,Rainy,Urban Road,Damaged,Dusk,Police Checkpost,96,32,Male,,No,Bridge,"Unknown, Himachal Pradesh",32.176123,76.6980857,"Unknown Tea Shop, Jalsu Binwa Stream, Kangra, -, Himachal Pradesh, India",Jalsu Binwa Stream
Odisha,Unknown,2020,August,Wednesday,1:10,Minor,2,Pedestrian,7,1,Foggy,Village Road,Dry,Daylight,Signals,38,53,Male,Expired,No,Bridge,"Unknown, Odisha",18.9668959,84.3684974,"Unknown Temple, Bhima point tracking Path, Gajapati, Burakhat, Odisha, India",Bhima point tracking Path
Arunachal Pradesh,Unknown,2018,November,Saturday,13:10,Fatal,5,Car,0,4,Stormy,National Highway,Under Construction,Dusk,,120,47,Female,,No,Straight Road,"Unknown, Arunachal Pradesh",27.06,93.37,"Sangdupota (Basar Nello), Sangdupota Basar Nello Circle, India",Sangdupota Basar Nello Circle
Delhi,New Delhi,2022,December,Friday,0:0,Minor,3,Bus,2,1,Stormy,Village Road,Under Construction,Daylight,,34,55,Male,Valid,Yes,Bridge,"New Delhi, Delhi",28.6430858,77.2192671,"New Delhi, Foot Over Bridge 1, Central Delhi, Delhi - 110006, Delhi, India",Foot Over Bridge 1
Jammu and Kashmir,Unknown,2022,February,Friday,17:21,Minor,1,Car,2,1,Hazy,State Highway,Under Construction,Dawn,Police Checkpost,53,22,Female,Valid,No,Intersection,"Unknown, Jammu and Kashmir",33.91667,76.66667,"Rangdun-Lingshed, Sham Valley, -, Ladakh, India",Sham Valley
Kerala,Unknown,2023,October,Tuesday,0:15,Fatal,4,Auto-Rickshaw,0,5,Clear,Urban Road,Dry,Daylight,Police Checkpost,37,33,Male,,No,Bridge,"Unknown, Kerala",9.9627112,76.2897971,"Manikkath Road, Perumanoor, Ernakulam - 680016, Kerala, India",Perumanoor
