State Name,Year,Month,Day of Week,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Speed Limit (km/h),Driver Age,Driver Gender,Accident Location Details,Time_of_Day_Numerical,Alcohol Involvement_Yes
Gujarat,2022,5,3,2,1,1,10,5,4,6,1,2,30,18,1,4,39900,0
Mizoram,2023,5,4,2,4,6,8,0,7,6,6,4,78,31,2,4,71580,1
Uttarakhand,2022,5,5,1,1,6,5,1,7,6,5,3,74,50,1,7,67140,0
Uttarakhand,2021,5,1,1,2,1,9,3,7,4,5,1,41,46,2,1,30960,1
Mizoram,2021,5,5,0,2,2,4,4,1,6,5,3,75,56,1,7,78420,1
Bihar,2018,5,1,0,2,7,5,0,7,4,5,2,81,20,1,4,300,1
Sikkim,2021,5,3,2,1,7,9,3,7,6,2,4,89,47,2,7,46680,1
Assam,2018,5,1,1,1,7,4,2,7,6,6,4,46,30,2,8,29520,1
Mizoram,2022,5,7,2,2,4,6,1,7,4,5,3,104,44,2,4,75660,1
Puducherry,2023,5,3,1,3,2,1,1,2,6,5,3,92,28,1,4,1740,1
Arunachal Pradesh,2021,5,3,2,5,8,3,5,2,4,2,1,40,50,2,7,81780,0
Rajasthan,2018,5,1,2,2,8,0,2,7,4,5,2,89,61,1,4,46020,0
Telangana,2019,5,4,0,1,7,1,2,7,6,1,1,31,48,2,1,50100,1
Andhra Pradesh,2019,5,2,1,1,1,10,5,7,6,5,4,37,46,1,1,65220,1
Jharkhand,2019,5,2,1,4,7,5,4,7,6,2,3,63,65,1,4,31740,0
Gujarat,2018,5,6,0,2,7,0,3,1,6,5,2,88,60,2,4,61740,0
West Bengal,2018,5,7,2,2,4,4,4,4,4,2,2,114,58,1,8,39420,1
Andhra Pradesh,2021,5,5,2,5,1,0,4,7,6,2,2,113,67,2,4,14100,1
Sikkim,2018,5,7,2,5,1,4,0,4,4,2,1,83,29,2,8,12780,1
Meghalaya,2020,5,2,0,4,7,2,5,7,4,2,4,57,18,2,4,59700,0
Andhra Pradesh,2018,5,2,2,5,8,5,0,7,5,5,4,89,23,2,7,8040,1
Andhra Pradesh,2021,5,2,2,3,2,8,2,2,4,5,4,67,59,1,4,68160,0
Telangana,2022,5,5,0,3,7,10,0,1,5,5,1,45,48,2,7,55500,1
Chandigarh,2023,5,1,1,5,1,0,3,7,5,6,4,67,18,2,8,15840,1
Karnataka,2023,5,3,1,3,2,3,3,7,6,5,1,37,32,2,4,29220,0
Uttar Pradesh,2020,5,3,2,3,2,10,3,7,6,6,3,35,24,2,1,14460,0
Mizoram,2018,5,5,1,2,2,4,4,7,6,6,3,105,62,2,1,52380,0
Sikkim,2021,5,4,1,2,8,5,4,7,5,2,4,36,67,1,8,65700,1
Nagaland,2021,5,2,1,2,2,6,5,7,6,1,2,93,31,1,1,14880,1
Punjab,2018,5,7,0,2,7,4,4,7,4,2,4,99,60,2,4,45060,0
Meghalaya,2022,5,4,0,5,1,7,2,1,4,5,4,61,26,2,1,59340,0
Arunachal Pradesh,2022,5,6,1,1,8,1,4,4,4,1,2,75,46,2,7,75180,1
Rajasthan,2023,5,6,0,4,1,1,0,7,6,5,3,89,23,1,4,33420,1
Himachal Pradesh,2019,5,2,1,4,8,5,3,7,4,1,3,65,49,2,1,39300,1
Jharkhand,2023,5,6,2,1,4,9,5,4,4,5,4,106,38,2,8,45120,1
Jammu and Kashmir,2021,5,5,2,5,8,2,2,2,6,1,2,93,43,1,1,55140,1
Puducherry,2023,5,3,0,1,2,1,1,2,6,2,3,75,62,1,4,51780,0
Karnataka,2019,5,3,0,3,8,7,0,1,5,2,3,47,61,2,4,63600,0
Bihar,2018,5,5,1,5,6,10,4,7,6,1,2,79,52,1,1,4740,0
Goa,2022,5,1,2,1,6,8,0,1,6,1,3,84,32,2,7,50760,0
Telangana,2023,5,7,0,2,4,0,0,1,6,6,3,108,45,1,4,52200,0
Uttar Pradesh,2023,5,3,1,4,2,1,0,1,6,2,1,66,49,1,8,42960,1
Chandigarh,2020,5,5,0,1,2,7,5,1,6,1,2,94,31,1,1,53760,1
Jharkhand,2020,5,2,2,5,6,4,1,7,5,5,1,110,57,1,7,81480,0
Manipur,2022,5,4,2,4,1,10,3,2,5,1,4,104,67,1,1,28920,1
Uttarakhand,2021,5,2,1,5,7,8,3,7,6,2,3,116,67,1,8,15900,0
Himachal Pradesh,2023,5,1,0,3,8,1,4,7,6,5,4,35,51,2,8,77280,1
Arunachal Pradesh,2021,5,4,1,1,7,9,2,7,6,5,1,61,32,1,8,61500,1
Jharkhand,2019,5,3,2,4,6,3,0,1,5,5,2,62,63,2,7,47520,1
Madhya Pradesh,2023,5,3,1,1,2,9,1,2,6,2,3,90,19,1,1,74700,0
Punjab,2022,5,2,0,3,7,5,5,2,6,1,3,73,51,2,7,49800,0
Chhattisgarh,2023,5,3,2,2,4,3,5,7,5,1,1,75,26,1,7,78960,0
Madhya Pradesh,2022,5,7,1,4,4,10,4,7,5,6,4,120,35,1,1,56280,0
Puducherry,2021,5,6,2,2,2,8,0,4,6,2,3,69,38,2,8,40620,0
Sikkim,2021,5,3,0,4,7,6,4,7,6,6,1,51,68,2,1,71340,0
Chandigarh,2020,5,4,0,2,7,1,3,7,4,2,1,33,44,2,8,34380,1
Sikkim,2020,5,1,1,2,7,9,1,1,5,6,3,51,25,1,7,16380,0
Haryana,2022,5,5,1,2,8,2,4,2,4,1,1,56,22,1,4,62100,1
Himachal Pradesh,2021,5,4,0,2,7,1,0,2,6,5,3,54,19,2,4,73920,1
Uttar Pradesh,2023,5,2,1,3,6,0,2,1,4,2,2,89,27,1,4,19080,0
Assam,2018,5,5,1,1,1,8,0,4,4,5,3,102,61,2,1,35880,1
Odisha,2020,5,3,0,1,6,1,2,1,6,1,4,110,25,2,8,41760,1
Puducherry,2022,5,3,0,5,1,5,3,4,6,2,2,116,44,1,7,11100,1
Karnataka,2020,5,3,1,4,8,2,2,7,6,5,4,60,38,2,4,10440,1
Gujarat,2022,5,5,2,4,7,8,5,4,6,5,2,100,43,1,8,49560,1
Puducherry,2022,5,1,0,4,7,0,3,2,4,5,4,118,62,1,4,55920,0
Sikkim,2020,5,1,0,3,6,4,1,7,4,2,1,43,25,1,8,23940,0
Tamil Nadu,2021,5,7,2,2,8,1,1,1,5,1,4,40,68,1,7,59100,0
Chandigarh,2021,5,2,1,5,7,5,3,7,5,6,3,62,36,1,1,83280,0
Nagaland,2021,5,5,0,2,4,0,3,2,6,2,2,32,43,2,4,31920,1
Uttarakhand,2021,5,2,0,3,1,10,1,7,6,6,2,111,28,2,7,74280,1
Chandigarh,2022,5,5,0,1,6,8,4,7,6,1,1,51,30,1,4,77340,0
Jammu and Kashmir,2021,5,5,1,1,7,1,4,4,5,1,4,40,42,2,4,84420,0
Andhra Pradesh,2022,5,1,2,1,8,0,2,7,6,1,3,84,27,1,8,24660,0
Madhya Pradesh,2022,5,1,1,2,1,1,1,1,6,6,4,49,49,1,4,52980,1
Chandigarh,2018,5,1,1,3,4,5,5,7,4,1,2,60,56,2,4,10620,0
Uttar Pradesh,2020,5,3,2,3,2,3,5,4,6,6,4,70,25,2,8,86220,1
West Bengal,2021,5,1,2,2,6,3,5,7,5,1,3,41,61,1,8,52860,1
Chhattisgarh,2023,5,1,1,2,1,3,0,1,4,6,1,47,34,2,1,11640,1
West Bengal,2021,5,2,2,1,1,10,3,2,6,5,1,106,34,1,8,16320,1
Delhi,2021,5,3,2,4,8,8,3,7,4,5,2,77,67,1,1,5880,0
Gujarat,2019,5,7,1,3,2,10,3,2,5,5,1,66,47,2,8,66240,0
Goa,2022,5,4,1,2,4,1,2,2,6,5,3,90,19,1,4,38880,0
Goa,2018,5,1,0,2,2,1,0,7,6,5,1,67,70,2,1,16680,0
Assam,2019,5,3,1,4,8,5,3,7,5,1,3,65,18,1,4,46920,0
Punjab,2022,5,3,2,2,4,6,3,4,5,1,1,53,44,2,4,32580,1
Odisha,2020,5,2,0,3,6,0,4,7,6,2,3,69,29,2,7,14040,1
Uttarakhand,2023,5,5,2,1,8,8,5,4,6,5,4,84,69,1,1,10500,0
Madhya Pradesh,2022,5,4,1,2,4,1,0,2,4,5,4,41,28,2,7,51120,1
Karnataka,2023,5,7,0,2,2,8,0,7,6,1,3,48,67,2,8,60540,0
Telangana,2019,5,6,1,3,7,7,3,7,5,6,1,109,68,1,4,56880,0
Bihar,2022,5,2,0,4,1,1,5,7,6,1,2,72,40,2,8,6300,1
Chhattisgarh,2022,5,1,1,2,2,4,2,7,5,2,1,94,68,2,7,60000,0
Rajasthan,2020,5,2,1,1,8,0,2,7,6,1,4,50,32,2,1,16200,0
Goa,2020,5,6,2,2,4,9,4,2,6,1,1,35,18,1,7,12720,0
Jharkhand,2018,5,2,1,1,7,8,4,1,6,6,4,39,58,1,1,60180,1
Puducherry,2018,5,5,2,5,2,9,2,7,4,5,1,106,47,1,7,19380,1
Kerala,2023,5,1,0,5,7,5,1,1,6,5,4,113,53,2,4,67860,1
Bihar,2020,5,5,1,2,7,3,2,7,5,6,1,64,43,1,1,39840,1
Odisha,2019,5,2,1,4,7,7,4,4,5,6,1,108,31,2,1,33540,0
Nagaland,2018,5,1,2,1,7,10,4,7,6,1,1,94,70,1,8,31980,0
Andhra Pradesh,2021,5,4,0,5,7,6,4,1,4,2,3,115,48,2,1,74100,1
Nagaland,2023,5,5,2,3,1,2,4,7,5,5,1,31,27,1,8,8460,1
Tamil Nadu,2022,5,3,1,1,7,2,3,7,5,2,3,80,48,2,8,23520,1
Chhattisgarh,2018,5,2,2,2,7,10,0,7,6,5,4,96,28,2,8,22020,0
Tripura,2019,5,3,0,2,7,4,0,2,6,2,1,71,20,1,1,26820,1
Maharashtra,2019,5,5,1,2,8,3,1,2,6,2,1,91,47,2,7,30840,1
Karnataka,2020,5,1,1,3,4,2,0,4,5,2,3,55,37,2,4,36420,1
Andhra Pradesh,2021,5,4,0,3,7,5,4,4,5,2,3,85,29,2,1,73620,1
Bihar,2020,5,3,0,2,4,7,0,1,6,5,1,62,70,1,1,19320,0
Chandigarh,2022,5,4,0,1,7,3,3,2,6,5,1,83,70,1,8,19320,0
Assam,2018,5,6,1,3,7,9,4,7,6,5,3,31,43,2,1,69600,0
Uttarakhand,2021,5,4,0,4,7,3,0,1,6,6,3,119,66,1,8,34500,1
Punjab,2022,5,7,0,3,4,1,0,7,5,1,3,55,51,1,4,36240,0
Odisha,2020,5,7,1,2,7,3,5,7,6,6,3,67,59,2,1,53100,1
Uttarakhand,2023,5,2,2,4,6,6,0,2,6,6,1,105,45,2,8,24360,1
Rajasthan,2019,5,5,0,5,1,7,0,2,5,1,3,99,21,1,7,44700,0
Gujarat,2022,5,1,2,3,8,9,3,2,6,5,3,48,45,2,8,56340,0
Karnataka,2021,5,4,2,5,7,6,4,4,4,1,1,96,27,1,1,60300,0
Sikkim,2021,5,1,2,5,6,5,1,2,6,1,1,103,51,2,1,41580,0
Jharkhand,2019,5,5,1,2,6,9,3,7,6,5,1,55,36,2,8,62160,0
Mizoram,2020,5,5,2,5,4,8,3,4,5,6,3,68,57,2,8,64020,0
Chhattisgarh,2018,5,1,1,3,6,1,0,4,5,6,2,66,33,1,7,49800,0
Madhya Pradesh,2021,5,1,2,2,4,7,1,1,6,2,4,70,69,1,4,29460,0
West Bengal,2021,5,6,1,5,7,3,3,4,5,6,1,102,53,2,4,40260,0
Himachal Pradesh,2021,5,3,0,1,7,1,3,7,6,6,2,107,62,2,8,7020,1
Kerala,2021,5,1,2,1,7,4,4,7,4,5,1,87,53,2,1,3060,0
Bihar,2021,5,3,2,2,1,9,2,4,6,5,4,90,39,2,1,18120,0
Chandigarh,2021,5,7,1,2,7,1,0,4,4,1,4,58,35,1,7,56640,0
Tripura,2020,5,4,1,5,7,6,5,1,4,2,2,95,47,2,7,47460,0
Kerala,2020,5,3,2,5,1,5,5,1,6,2,3,58,35,2,7,18600,1
Madhya Pradesh,2023,5,1,1,2,8,10,1,4,6,5,3,98,44,2,4,30000,0
Delhi,2022,5,1,2,3,8,2,2,7,5,1,2,80,20,1,7,58920,1
Himachal Pradesh,2021,5,2,0,1,2,9,3,2,6,6,2,96,28,1,8,72780,1
Nagaland,2023,5,1,2,4,7,4,4,2,4,2,2,39,27,1,7,40020,1
West Bengal,2018,5,2,0,4,6,0,5,4,5,6,2,51,54,2,4,15780,1
Tripura,2020,5,3,1,3,4,2,5,2,6,1,3,46,43,1,8,42120,0
Mizoram,2019,5,2,2,1,2,3,0,1,5,1,3,75,56,1,1,360,0
Meghalaya,2020,5,3,2,4,7,8,0,1,6,1,3,68,59,1,4,16740,0
Mizoram,2018,5,4,0,5,1,9,5,2,4,6,4,107,48,1,8,6720,0
Mizoram,2022,5,2,1,5,7,1,0,7,6,5,1,80,57,1,7,5220,1
Sikkim,2022,5,6,0,4,4,9,4,4,6,5,1,115,22,1,1,80160,0
Punjab,2021,5,7,1,2,2,2,0,7,4,6,3,44,54,1,7,64620,0
Jharkhand,2018,5,6,0,1,2,5,0,7,5,2,3,67,25,1,8,24480,1
Chandigarh,2019,5,2,1,1,2,5,5,1,6,5,1,97,55,2,7,79140,1
Puducherry,2019,5,7,1,5,4,6,5,7,6,1,4,79,65,2,7,58680,1
West Bengal,2020,5,4,0,3,1,10,4,7,4,1,2,63,27,2,8,13380,0
Punjab,2022,5,2,2,5,7,9,2,4,6,1,2,84,39,1,4,27660,1
Odisha,2022,5,4,1,3,4,1,3,4,5,1,3,43,65,1,1,13200,0
Telangana,2023,5,2,2,2,1,9,4,7,4,1,3,39,27,2,4,61020,1
Himachal Pradesh,2020,5,3,2,3,8,4,4,1,6,1,2,35,62,1,4,31620,0
Punjab,2019,5,1,0,4,2,2,3,2,4,6,1,32,24,2,7,79800,1
Arunachal Pradesh,2018,5,6,0,4,2,9,1,7,6,2,3,95,18,2,1,35040,0
Mizoram,2019,5,4,0,3,7,4,2,7,5,2,2,82,54,1,8,42420,0
Telangana,2018,5,2,0,5,8,6,5,7,6,2,3,101,25,1,4,84060,1
Jammu and Kashmir,2023,5,7,1,2,6,8,5,4,6,1,1,51,40,2,1,86100,0
Assam,2021,5,5,1,1,7,0,3,7,5,2,3,88,67,1,4,20760,1
Chhattisgarh,2022,5,1,1,1,7,8,0,7,5,2,2,107,67,2,8,73260,1
Gujarat,2021,5,3,1,5,4,7,3,2,6,2,2,33,43,2,8,21360,1
Chandigarh,2021,5,1,0,4,7,4,2,7,6,5,3,120,33,2,7,30840,0
Karnataka,2021,5,1,0,2,1,7,0,7,6,2,3,72,22,1,4,28800,0
Gujarat,2018,5,4,2,2,4,4,3,7,6,6,4,92,63,1,1,85380,0
Haryana,2020,5,2,1,1,7,8,4,7,6,2,1,63,31,1,8,29640,0
Delhi,2021,5,5,1,3,2,8,2,7,6,5,3,66,22,2,1,68100,0
Madhya Pradesh,2021,5,4,2,1,7,9,3,2,6,5,3,69,30,1,7,54060,0
Goa,2021,5,4,0,4,6,5,3,7,6,2,2,59,64,1,8,54420,0
Manipur,2019,5,4,1,5,6,6,0,4,6,1,1,30,59,1,8,9240,0
Jharkhand,2018,5,3,0,4,7,8,1,1,4,6,1,35,42,2,4,53100,0
Meghalaya,2018,5,6,0,1,6,9,1,2,4,1,2,57,29,2,1,51420,0
Sikkim,2022,5,7,0,4,1,9,1,2,4,2,4,53,61,2,1,49260,0
Delhi,2020,5,3,2,2,8,2,2,4,6,5,3,96,26,1,1,6600,1
West Bengal,2021,5,3,2,2,7,1,4,1,4,6,4,38,21,1,7,66240,1
Sikkim,2021,5,5,0,5,2,2,4,2,4,1,2,84,45,1,8,63360,1
West Bengal,2022,5,6,0,2,4,0,4,7,6,1,2,53,65,1,7,75120,1
Chhattisgarh,2021,5,5,1,5,8,5,1,4,5,1,1,45,49,2,7,57840,0
Himachal Pradesh,2023,5,6,0,2,7,2,3,4,5,1,1,49,64,2,4,22320,0
Uttarakhand,2021,5,5,2,1,6,7,1,7,6,1,1,102,61,2,7,59400,1
Delhi,2018,5,3,1,3,8,4,4,7,4,6,3,111,22,1,4,4140,1
Tamil Nadu,2020,5,3,1,3,7,10,2,7,6,6,2,90,54,1,7,37200,0
Sikkim,2022,5,7,1,4,6,9,5,7,4,2,2,90,42,2,8,61380,0
Sikkim,2022,5,3,1,2,2,8,1,1,6,1,2,78,22,1,7,64920,0
Maharashtra,2021,5,4,2,2,8,10,1,7,5,6,4,112,55,2,8,5940,1
Goa,2018,5,5,0,3,6,4,2,7,6,5,2,46,36,1,1,40260,0
Andhra Pradesh,2023,5,4,1,4,4,1,1,7,6,1,4,45,53,2,4,65280,0
Puducherry,2022,5,5,0,1,2,9,0,4,6,1,4,78,40,1,1,69780,1
Meghalaya,2020,5,4,1,1,7,10,2,4,4,5,2,119,27,2,7,70140,1
Telangana,2023,5,4,1,5,6,6,3,2,6,2,3,37,60,2,7,420,1
Tamil Nadu,2020,5,6,1,1,2,3,1,4,6,2,1,58,70,1,8,78900,1
Mizoram,2020,5,3,1,1,8,7,4,2,4,2,2,109,60,1,7,85440,0
Andhra Pradesh,2018,5,5,0,4,7,1,5,4,6,2,2,86,51,2,8,1620,1
Uttar Pradesh,2023,5,6,0,1,6,1,3,4,6,2,4,30,59,1,4,32280,1
Chandigarh,2018,5,3,0,5,6,9,2,4,6,6,1,81,54,1,8,35700,0
Mizoram,2023,5,7,0,2,4,2,2,4,6,6,3,56,60,2,7,61140,1
Odisha,2022,5,2,2,4,1,6,3,2,6,2,1,53,40,2,4,29280,1
Telangana,2018,5,7,0,3,4,8,2,1,4,5,1,114,46,2,1,64800,1
Karnataka,2021,5,5,0,1,6,2,3,7,6,1,4,97,37,1,8,47280,0
Chhattisgarh,2022,5,6,1,1,1,8,2,7,6,2,4,109,51,2,1,60000,0
Kerala,2023,5,6,1,4,8,2,0,2,5,1,4,96,66,1,7,25860,1
Madhya Pradesh,2018,5,4,0,4,8,0,4,7,6,1,1,46,63,2,4,40740,1
Delhi,2018,5,6,1,4,4,0,1,2,4,2,1,30,52,2,4,69960,1
Puducherry,2023,5,6,0,3,7,6,5,7,6,5,3,55,68,2,4,85680,0
Gujarat,2021,5,7,2,3,8,3,1,7,6,1,1,47,49,2,8,76140,1
Delhi,2021,5,3,1,5,7,8,4,4,6,6,1,72,19,2,1,18720,0
West Bengal,2022,5,7,0,5,6,6,0,2,6,5,2,41,43,1,7,27780,1
West Bengal,2020,5,4,0,3,7,8,0,7,5,6,2,77,39,2,4,26820,0
Bihar,2023,5,1,1,2,4,10,1,7,4,2,3,116,55,1,1,6600,0
Maharashtra,2022,5,1,0,3,6,7,1,2,4,2,2,78,42,1,1,63180,1
Mizoram,2023,5,7,2,1,7,4,5,7,5,1,4,46,66,2,4,83640,1
Jharkhand,2020,5,4,0,1,4,1,0,7,6,5,1,86,53,2,4,2940,1
Jammu and Kashmir,2020,5,1,0,3,4,2,1,7,5,1,1,87,61,2,1,21660,1
Arunachal Pradesh,2020,5,5,0,4,1,8,2,1,6,6,4,110,70,1,1,48660,0
Bihar,2020,5,1,1,5,8,4,2,7,6,2,1,43,40,2,7,20040,0
Rajasthan,2023,5,2,2,4,8,5,2,4,6,1,4,64,67,1,4,26700,0
Gujarat,2022,5,5,2,3,7,3,2,4,6,6,2,117,57,2,7,42060,1
Maharashtra,2019,5,6,0,5,1,10,2,2,5,5,1,60,38,2,1,63060,0
Gujarat,2021,5,6,2,3,7,9,0,1,6,2,4,37,63,2,4,6120,0
West Bengal,2021,5,4,1,4,2,5,1,7,6,1,4,100,61,1,7,30720,0
Maharashtra,2022,5,3,2,5,1,6,2,7,4,2,4,44,36,2,1,41220,1
Meghalaya,2021,5,3,2,3,2,0,3,2,4,1,2,98,24,2,8,71460,0
Tamil Nadu,2020,5,4,0,1,6,2,2,7,6,1,2,114,64,2,8,69720,1
Andhra Pradesh,2020,5,4,0,4,7,10,1,7,4,2,1,80,40,1,4,35280,1
Goa,2019,5,3,1,3,1,8,2,7,4,2,1,114,33,2,4,77400,0
Puducherry,2021,5,4,0,5,7,2,5,7,4,6,3,30,27,2,7,42720,1
Punjab,2022,5,2,2,2,7,7,0,4,4,6,4,94,22,1,4,35040,1
Jharkhand,2020,5,4,1,1,4,8,2,4,6,1,2,120,56,1,8,80160,0
Odisha,2019,5,1,1,4,4,6,5,7,6,5,1,44,68,2,8,58320,1
Telangana,2022,5,7,1,3,7,10,2,7,6,1,4,82,60,1,4,34200,0
Goa,2019,5,4,2,1,6,0,1,7,5,2,3,106,36,2,4,20160,1
Kerala,2019,5,5,0,2,6,7,5,2,5,1,3,38,46,2,4,55980,1
Odisha,2018,5,1,0,3,1,1,1,1,6,5,1,33,62,1,4,19860,0
Tamil Nadu,2020,5,6,2,3,4,8,4,7,6,6,3,80,68,1,7,50040,1
Andhra Pradesh,2022,5,2,2,5,7,10,5,7,4,5,2,105,35,2,1,47220,0
Kerala,2018,5,3,1,2,2,8,2,4,6,1,3,101,62,1,7,53760,1
Andhra Pradesh,2021,5,1,0,5,6,4,4,7,6,5,1,106,36,2,1,23160,0
Nagaland,2021,5,7,0,5,4,1,2,7,4,6,2,55,24,1,8,58380,0
Goa,2021,5,7,0,5,7,8,5,1,4,2,2,36,33,1,7,26940,0
Tamil Nadu,2021,5,1,0,2,2,7,0,7,6,2,3,30,39,2,8,40980,0
Chhattisgarh,2020,5,2,0,3,1,5,4,2,4,2,1,49,50,2,1,8580,1
Arunachal Pradesh,2023,5,5,0,1,6,2,4,2,4,5,3,77,66,1,8,30840,1
Sikkim,2018,5,6,2,2,8,5,1,7,4,1,3,81,68,2,4,48420,1
Mizoram,2020,5,4,0,4,8,3,2,2,4,5,1,83,48,2,1,75180,0
Delhi,2020,5,6,1,3,7,1,5,1,4,1,4,97,46,2,8,54180,0
Telangana,2022,5,7,0,1,6,6,2,7,6,1,3,76,18,2,8,59580,0
Arunachal Pradesh,2019,5,7,1,2,6,3,2,1,5,2,1,50,54,1,4,75360,1
Uttar Pradesh,2020,5,2,0,1,6,9,4,1,6,1,1,75,61,1,7,29520,0
Jharkhand,2021,5,1,1,3,2,3,4,7,6,2,4,75,68,2,8,8040,0
Sikkim,2023,5,7,0,3,7,1,2,2,4,1,2,58,67,1,4,23940,0
Assam,2020,5,2,0,5,6,2,2,7,5,6,4,45,30,2,8,11100,1
Kerala,2023,5,7,2,3,7,0,1,7,6,2,2,75,63,1,7,70800,1
Uttar Pradesh,2022,5,6,1,2,8,0,0,1,5,1,2,92,40,2,7,56640,1
Karnataka,2022,5,4,0,1,7,5,3,7,6,2,3,76,42,1,4,72840,0
Puducherry,2021,5,6,0,5,6,4,4,7,6,2,4,100,40,2,4,42720,1
Telangana,2023,5,1,1,1,7,3,5,2,6,6,2,55,45,2,4,47160,1
Kerala,2020,5,1,2,2,4,2,2,7,5,5,4,105,32,2,1,31920,0
Gujarat,2022,5,1,0,5,7,6,2,7,5,2,2,100,26,2,8,59760,0
Odisha,2021,5,4,1,5,4,5,2,2,6,5,1,82,70,2,7,60060,1
Delhi,2023,5,2,1,1,1,10,5,7,6,6,1,115,56,2,1,1680,1
Goa,2020,5,6,2,5,7,9,3,2,6,1,4,114,57,2,8,30600,0
Gujarat,2018,5,6,0,3,4,1,5,7,4,5,2,31,40,1,7,22680,1
Nagaland,2019,5,6,2,3,8,8,0,7,6,2,2,46,62,1,7,7800,0
Gujarat,2022,5,3,1,4,2,6,1,2,4,1,4,110,52,1,7,76200,1
Goa,2018,5,7,2,1,2,3,1,7,6,5,4,94,39,2,8,58920,1
Mizoram,2023,5,1,2,1,8,9,1,1,6,2,2,100,28,2,7,41040,1
Uttarakhand,2018,5,4,1,4,7,9,0,2,6,1,2,102,50,2,8,81420,1
Madhya Pradesh,2020,5,2,1,4,8,10,2,4,4,2,2,97,42,1,7,43560,1
Meghalaya,2022,5,1,0,5,7,2,0,7,6,5,1,76,31,2,7,41520,1
Nagaland,2020,5,1,2,5,7,5,0,2,6,5,3,75,31,2,4,22380,1
Delhi,2021,5,5,0,3,6,8,5,7,6,1,2,49,64,1,8,18000,1
Delhi,2023,5,6,0,3,2,10,0,2,6,1,4,113,65,2,8,51600,0
Punjab,2020,5,5,0,2,6,10,0,7,4,2,3,61,61,1,8,83820,1
Uttar Pradesh,2023,5,3,0,5,2,8,0,2,6,2,4,43,56,1,8,70080,1
Delhi,2020,5,5,1,1,1,8,0,1,6,5,3,81,68,1,8,76500,1
Madhya Pradesh,2018,5,5,2,2,7,1,2,7,4,2,4,41,38,1,1,77820,0
Maharashtra,2022,5,7,1,2,2,10,3,1,5,6,3,86,58,1,7,23400,0
Assam,2019,5,2,1,3,4,6,5,2,4,1,1,42,69,1,1,81480,1
Jharkhand,2022,5,5,0,5,6,10,4,7,6,6,4,86,19,1,4,67860,0
Tamil Nadu,2023,5,1,2,5,6,5,5,4,6,2,3,99,20,1,1,12420,0
Punjab,2020,5,2,0,4,2,10,2,1,6,5,3,89,58,2,8,4440,0
Sikkim,2020,5,3,0,1,8,2,1,7,4,5,1,89,54,1,8,63180,0
Tamil Nadu,2023,5,6,0,1,7,10,1,1,4,6,1,31,64,1,4,21240,1
Delhi,2020,5,3,2,4,1,1,1,2,6,2,3,75,69,2,1,39360,0
Meghalaya,2019,5,1,0,3,2,10,0,7,4,5,4,103,29,2,4,70260,0
Goa,2023,5,3,1,4,1,6,3,2,5,6,3,113,64,1,1,55320,1
Punjab,2021,5,6,2,4,8,8,4,7,6,5,3,71,56,1,4,1380,0
Arunachal Pradesh,2018,5,2,0,2,8,7,1,2,6,5,3,35,35,2,8,43020,1
Uttarakhand,2023,5,4,0,5,6,0,5,1,4,5,2,79,43,1,8,45600,0
Mizoram,2020,5,2,2,3,7,7,1,7,4,6,1,54,50,2,4,17460,1
Himachal Pradesh,2023,5,6,2,2,7,2,1,1,5,5,1,86,24,2,1,9720,1
West Bengal,2021,5,6,0,4,8,10,2,7,6,1,1,32,68,1,7,16500,1
Nagaland,2022,5,1,0,1,8,8,0,7,6,6,1,57,54,1,1,16860,1
Puducherry,2023,5,1,0,3,8,7,0,2,5,2,1,104,64,2,7,46260,0
Andhra Pradesh,2018,5,2,0,2,4,6,0,4,6,2,2,86,24,2,8,1500,1
Assam,2018,5,5,1,3,6,4,0,1,6,5,3,119,70,1,4,57000,1
Madhya Pradesh,2022,5,7,1,3,8,3,1,7,6,6,3,110,24,1,8,24480,0
Himachal Pradesh,2021,5,6,1,5,7,5,3,1,5,6,4,99,27,1,4,840,1
Jharkhand,2020,5,2,0,3,2,10,2,2,6,6,2,79,37,1,1,69240,1
Odisha,2019,5,7,0,5,8,5,1,7,4,1,3,45,56,1,4,38100,1
Odisha,2018,5,4,2,4,1,9,3,2,4,6,4,88,42,2,4,31080,0
Telangana,2021,5,3,1,3,7,2,4,4,6,6,4,76,23,1,1,78840,0
Tripura,2021,5,3,0,3,2,7,5,2,4,2,2,81,58,1,8,5940,0
Goa,2018,5,2,2,1,4,1,1,7,6,6,1,98,52,1,1,44160,1
Chhattisgarh,2023,5,4,2,2,1,3,3,2,6,5,4,65,52,1,8,42720,1
Punjab,2019,5,3,2,2,6,0,3,2,6,2,2,108,33,2,7,42180,1
Uttar Pradesh,2022,5,3,1,3,7,8,5,2,6,5,3,112,24,1,7,17880,0
Telangana,2022,5,7,2,2,8,0,3,1,6,6,3,118,25,2,8,68820,1
Nagaland,2023,5,4,1,1,4,9,5,1,4,1,2,81,46,1,7,15900,1
Kerala,2019,5,1,0,4,6,6,2,7,6,2,3,91,50,2,4,61320,0
Jammu and Kashmir,2022,5,2,1,3,4,0,1,2,6,1,3,95,29,1,1,1320,0
Himachal Pradesh,2019,5,2,2,1,1,0,1,2,4,6,1,37,67,2,4,82500,0
